Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Pokere-Waihaha","Total people, usual residence five years ago","Total people, age group","Total people, sex",2421,
"Okaihau","Total people, usual residence five years ago","Total people, age group","Total people, sex",699,
"Ohaeawai","Total people, usual residence five years ago","Total people, age group","Total people, sex",714,
"Waihou Valley-Hupara","Total people, usual residence five years ago","Total people, age group","Total people, sex",3285,
"Ngapuhi-Kaikou","Total people, usual residence five years ago","Total people, age group","Total people, sex",2394,
"Kaikohe","Total people, usual residence five years ago","Total people, age group","Total people, sex",3912,
"Inlet-Hokianga Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Rangaunu Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Whangaroa Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",18,
"Inlet-Bay of Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",6,
"Opouteke-Tanekaha","Total people, usual residence five years ago","Total people, age group","Total people, sex",4737,
"Marsden Point-Ruakaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",3543,
"Ngunguru","Total people, usual residence five years ago","Total people, age group","Total people, sex",1527,
"Wharekohe-Oakleigh","Total people, usual residence five years ago","Total people, age group","Total people, sex",3597,
"Maungatapere","Total people, usual residence five years ago","Total people, age group","Total people, sex",1326,
"Waiotira-Springfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",2007,
"Whangaruru Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Punaruku-Kiripaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",4047,
"Bream Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",885,
"Waipu","Total people, usual residence five years ago","Total people, age group","Total people, sex",1668,
"Pataua-Whareora","Total people, usual residence five years ago","Total people, age group","Total people, sex",1143,
"Parua Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",2019,
"Bream Head","Total people, usual residence five years ago","Total people, age group","Total people, sex",1302,
"Springs Flat","Total people, usual residence five years ago","Total people, age group","Total people, sex",1449,
"Three Mile Bush","Total people, usual residence five years ago","Total people, age group","Total people, sex",999,
"Te Hihi","Total people, usual residence five years ago","Total people, age group","Total people, sex",1155,
"Abbey Caves","Total people, usual residence five years ago","Total people, age group","Total people, sex",636,
"Otaika-Portland","Total people, usual residence five years ago","Total people, age group","Total people, sex",1050,
"Kamo West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3651,
"Kamo East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3387,
"Tikipunga West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2997,
"Tikipunga East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2934,
"Whau Valley","Total people, usual residence five years ago","Total people, age group","Total people, sex",2361,
"Otangarei","Total people, usual residence five years ago","Total people, age group","Total people, sex",1758,
"Western Hills","Total people, usual residence five years ago","Total people, age group","Total people, sex",249,
"Kensington","Total people, usual residence five years ago","Total people, age group","Total people, sex",1224,
"Mairtown","Total people, usual residence five years ago","Total people, age group","Total people, sex",2367,
"Regent","Total people, usual residence five years ago","Total people, age group","Total people, sex",1596,
"Woodhill","Total people, usual residence five years ago","Total people, age group","Total people, sex",1674,
"Vinetown","Total people, usual residence five years ago","Total people, age group","Total people, sex",1479,
"Whangarei Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",174,
"Riverside","Total people, usual residence five years ago","Total people, age group","Total people, sex",714,
"Horahora","Total people, usual residence five years ago","Total people, age group","Total people, sex",1053,
"Maunu","Total people, usual residence five years ago","Total people, age group","Total people, sex",1359,
"Raumanga East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1635,
"Morningside","Total people, usual residence five years ago","Total people, age group","Total people, sex",2088,
"Parahaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",1128,
"Raumanga West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2817,
"Port-Limeburners","Total people, usual residence five years ago","Total people, age group","Total people, sex",36,
"Sherwood Rise","Total people, usual residence five years ago","Total people, age group","Total people, sex",3741,
"Onerahi","Total people, usual residence five years ago","Total people, age group","Total people, sex",2046,
"Hikurangi","Total people, usual residence five years ago","Total people, age group","Total people, sex",1410,
"Inlet-Tutukaka Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",24,
"Inlet-Whangarei Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",3,
"Inlet-Port Whangarei","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Te Kopuru","Total people, usual residence five years ago","Total people, age group","Total people, sex",465,
"Kaipara Coastal","Total people, usual residence five years ago","Total people, age group","Total people, sex",2955,
"Maungaru","Total people, usual residence five years ago","Total people, age group","Total people, sex",1695,
"Dargaville","Total people, usual residence five years ago","Total people, age group","Total people, sex",4251,
"Maungaturoto","Total people, usual residence five years ago","Total people, age group","Total people, sex",753,
"Ruawai","Total people, usual residence five years ago","Total people, age group","Total people, sex",432,
"Kaiwaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",576,
"Rehia-Oneriri","Total people, usual residence five years ago","Total people, age group","Total people, sex",5418,
"Mangawhai","Total people, usual residence five years ago","Total people, age group","Total people, sex",1329,
"Mangawhai Heads","Total people, usual residence five years ago","Total people, age group","Total people, sex",1086,
"Inlet-Mangawhai Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Whitianga","Total people, usual residence five years ago","Total people, age group","Total people, sex",4368,
"Coromandel","Total people, usual residence five years ago","Total people, age group","Total people, sex",1503,
"Te Rerenga","Total people, usual residence five years ago","Total people, age group","Total people, sex",4104,
"Whangamata","Total people, usual residence five years ago","Total people, age group","Total people, sex",3471,
"Tairua","Total people, usual residence five years ago","Total people, age group","Total people, sex",1230,
"Moanataiari","Total people, usual residence five years ago","Total people, age group","Total people, sex",2424,
"Parawai","Total people, usual residence five years ago","Total people, age group","Total people, sex",4269,
"Pauanui Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",750,
"Hikuai","Total people, usual residence five years ago","Total people, age group","Total people, sex",3195,
"Te Puru-Thornton Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",843,
"Inlets-Thames-Coromandel District","Total people, usual residence five years ago","Total people, age group","Total people, sex",12,
"Islands-Thames-Coromandel District","Total people, usual residence five years ago","Total people, age group","Total people, sex",3,
"Kaiaua","Total people, usual residence five years ago","Total people, age group","Total people, sex",786,
"Ngatea","Total people, usual residence five years ago","Total people, age group","Total people, sex",1245,
"Hauraki Plains","Total people, usual residence five years ago","Total people, age group","Total people, sex",2508,
"Turua","Total people, usual residence five years ago","Total people, age group","Total people, sex",1317,
"Kerepehi","Total people, usual residence five years ago","Total people, age group","Total people, sex",429,
"Ohinemuri","Total people, usual residence five years ago","Total people, age group","Total people, sex",3111,
"Paeroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",3885,
"Waihi","Total people, usual residence five years ago","Total people, age group","Total people, sex",4527,
"Redoubt","Total people, usual residence five years ago","Total people, age group","Total people, sex",198,
"Opuawhanga","Total people, usual residence five years ago","Total people, age group","Total people, sex",234,
"Buckland South","Total people, usual residence five years ago","Total people, age group","Total people, sex",846,
"Pokeno","Total people, usual residence five years ago","Total people, age group","Total people, sex",1782,
"Mangatawhiri","Total people, usual residence five years ago","Total people, age group","Total people, sex",1533,
"Otaua","Total people, usual residence five years ago","Total people, age group","Total people, sex",2271,
"Pukeoware","Total people, usual residence five years ago","Total people, age group","Total people, sex",228,
"Tuakau","Total people, usual residence five years ago","Total people, age group","Total people, sex",4182,
"Rotowaro","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Raglan","Total people, usual residence five years ago","Total people, age group","Total people, sex",2736,
"Waikato Western Hills","Total people, usual residence five years ago","Total people, age group","Total people, sex",3978,
"Te Uku","Total people, usual residence five years ago","Total people, age group","Total people, sex",1896,
"Onewhero","Total people, usual residence five years ago","Total people, age group","Total people, sex",3831,
"Te Akau","Total people, usual residence five years ago","Total people, age group","Total people, sex",933,
"Te Kauwhata","Total people, usual residence five years ago","Total people, age group","Total people, sex",1473,
"Matangi","Total people, usual residence five years ago","Total people, age group","Total people, sex",2157,
"Whitikahu","Total people, usual residence five years ago","Total people, age group","Total people, sex",2112,
"Taupiri Community","Total people, usual residence five years ago","Total people, age group","Total people, sex",417,
"Gordonton","Total people, usual residence five years ago","Total people, age group","Total people, sex",1137,
"Kainui","Total people, usual residence five years ago","Total people, age group","Total people, sex",2769,
"Eureka","Total people, usual residence five years ago","Total people, age group","Total people, sex",2184,
"Tamahere-Tauwhare","Total people, usual residence five years ago","Total people, age group","Total people, sex",5631,
"Waerenga","Total people, usual residence five years ago","Total people, age group","Total people, sex",2538,
"Maramarua","Total people, usual residence five years ago","Total people, age group","Total people, sex",1011,
"Meremere","Total people, usual residence five years ago","Total people, age group","Total people, sex",468,
"Huntly West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2835,
"Huntly East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4122,
"Te Kowhai","Total people, usual residence five years ago","Total people, age group","Total people, sex",1509,
"Whatawhata","Total people, usual residence five years ago","Total people, age group","Total people, sex",2475,
"Horotiu","Total people, usual residence five years ago","Total people, age group","Total people, sex",768,
"Ngaruawahia","Total people, usual residence five years ago","Total people, age group","Total people, sex",5127,
"Inlet-Raglan Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Aotea Harbour North","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Tahuroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",2655,
"Waitoa","Total people, usual residence five years ago","Total people, age group","Total people, sex",303,
