Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Enner Glynn","Total people, usual residence five years ago","Total people, age group","Total people, sex",3156,
"Maitlands","Total people, usual residence five years ago","Total people, age group","Total people, sex",2442,
"Isel Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",3165,
"Langbein","Total people, usual residence five years ago","Total people, age group","Total people, sex",3213,
"Inlet-Tasman Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Havelock","Total people, usual residence five years ago","Total people, age group","Total people, sex",489,
"Renwick","Total people, usual residence five years ago","Total people, age group","Total people, sex",2118,
"Woodbourne","Total people, usual residence five years ago","Total people, age group","Total people, sex",399,
"Omaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",852,
"Spring Creek-Grovetown","Total people, usual residence five years ago","Total people, age group","Total people, sex",1275,
"Riverlands","Total people, usual residence five years ago","Total people, age group","Total people, sex",471,
"Waikawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1311,
"Marlborough Sounds Coastal Marine","Total people, usual residence five years ago","Total people, age group","Total people, sex",33,
"Marlborough Sounds Terrestrial","Total people, usual residence five years ago","Total people, age group","Total people, sex",3231,
"Wairau North","Total people, usual residence five years ago","Total people, age group","Total people, sex",435,
"Tuamarina","Total people, usual residence five years ago","Total people, age group","Total people, sex",1122,
"Rapaura","Total people, usual residence five years ago","Total people, age group","Total people, sex",1200,
"Wairau South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1527,
"Weld Pass","Total people, usual residence five years ago","Total people, age group","Total people, sex",207,
"Fairhall","Total people, usual residence five years ago","Total people, age group","Total people, sex",381,
"Severn","Total people, usual residence five years ago","Total people, age group","Total people, sex",3,
"Ward","Total people, usual residence five years ago","Total people, age group","Total people, sex",930,
"Seddon","Total people, usual residence five years ago","Total people, age group","Total people, sex",507,
"Picton","Total people, usual residence five years ago","Total people, age group","Total people, sex",2745,
"Springlands","Total people, usual residence five years ago","Total people, age group","Total people, sex",4251,
"Mayfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",2739,
"Blenheim Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2706,
"Whitney","Total people, usual residence five years ago","Total people, age group","Total people, sex",4299,
"Redwoodtown","Total people, usual residence five years ago","Total people, age group","Total people, sex",5352,
"Witherlea","Total people, usual residence five years ago","Total people, age group","Total people, sex",4836,
"Kaikoura Township","Total people, usual residence five years ago","Total people, age group","Total people, sex",1971,
"Kaikoura Rural","Total people, usual residence five years ago","Total people, age group","Total people, sex",1581,
"Karamea","Total people, usual residence five years ago","Total people, age group","Total people, sex",375,
"Hector-Ngakawau","Total people, usual residence five years ago","Total people, age group","Total people, sex",219,
"Granity","Total people, usual residence five years ago","Total people, age group","Total people, sex",237,
"Orowaiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",720,
"Little Wanganui","Total people, usual residence five years ago","Total people, age group","Total people, sex",204,
"Mokihinui","Total people, usual residence five years ago","Total people, age group","Total people, sex",186,
"Buller Coalfields","Total people, usual residence five years ago","Total people, age group","Total people, sex",534,
"Westport Rural","Total people, usual residence five years ago","Total people, age group","Total people, sex",1551,
"Charleston","Total people, usual residence five years ago","Total people, age group","Total people, sex",339,
"Inangahua Junction","Total people, usual residence five years ago","Total people, age group","Total people, sex",144,
"Westport Urban","Total people, usual residence five years ago","Total people, age group","Total people, sex",4035,
"Reefton","Total people, usual residence five years ago","Total people, age group","Total people, sex",1026,
"Inangahua Valley","Total people, usual residence five years ago","Total people, age group","Total people, sex",327,
"Mawheraiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",387,
"Maruia","Total people, usual residence five years ago","Total people, age group","Total people, sex",186,
"Inlet-Buller River","Total people, usual residence five years ago","Total people, age group","Total people, sex",3,
"Karoro","Total people, usual residence five years ago","Total people, age group","Total people, sex",933,
"Kaiata","Total people, usual residence five years ago","Total people, age group","Total people, sex",288,
"South Beach-Camerons","Total people, usual residence five years ago","Total people, age group","Total people, sex",1200,
"Blackball","Total people, usual residence five years ago","Total people, age group","Total people, sex",288,
"Point Elizabeth","Total people, usual residence five years ago","Total people, age group","Total people, sex",84,
"Dobson","Total people, usual residence five years ago","Total people, age group","Total people, sex",678,
"Barrytown","Total people, usual residence five years ago","Total people, age group","Total people, sex",237,
"Coal Creek","Total people, usual residence five years ago","Total people, age group","Total people, sex",51,
"Atarau","Total people, usual residence five years ago","Total people, age group","Total people, sex",180,
"Greymouth Rural","Total people, usual residence five years ago","Total people, age group","Total people, sex",75,
"Marsden-Hohonu","Total people, usual residence five years ago","Total people, age group","Total people, sex",417,
"Arnold Valley","Total people, usual residence five years ago","Total people, age group","Total people, sex",165,
"Nelson Creek-Ngahere","Total people, usual residence five years ago","Total people, age group","Total people, sex",366,
"Ahaura","Total people, usual residence five years ago","Total people, age group","Total people, sex",372,
"Lake Brunner","Total people, usual residence five years ago","Total people, age group","Total people, sex",273,
"Haupiri","Total people, usual residence five years ago","Total people, age group","Total people, sex",531,
"Runanga-Rapahoe","Total people, usual residence five years ago","Total people, age group","Total people, sex",1245,
"Cobden","Total people, usual residence five years ago","Total people, age group","Total people, sex",1656,
"Blaketown","Total people, usual residence five years ago","Total people, age group","Total people, sex",933,
"Greymouth Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",606,
"Greymouth South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2802,
"Kumara","Total people, usual residence five years ago","Total people, age group","Total people, sex",309,
"Kaniere","Total people, usual residence five years ago","Total people, age group","Total people, sex",483,
"Ross","Total people, usual residence five years ago","Total people, age group","Total people, sex",297,
"Harihari","Total people, usual residence five years ago","Total people, age group","Total people, sex",327,
"Franz Josef","Total people, usual residence five years ago","Total people, age group","Total people, sex",441,
"Fox Glacier","Total people, usual residence five years ago","Total people, age group","Total people, sex",306,
"Taramakau","Total people, usual residence five years ago","Total people, age group","Total people, sex",240,
"Otira","Total people, usual residence five years ago","Total people, age group","Total people, sex",54,
"Waimea-Arahura","Total people, usual residence five years ago","Total people, age group","Total people, sex",651,
"Hokitika Rural","Total people, usual residence five years ago","Total people, age group","Total people, sex",876,
"Hokitika Valley","Total people, usual residence five years ago","Total people, age group","Total people, sex",522,
"Totara River","Total people, usual residence five years ago","Total people, age group","Total people, sex",63,
"Waitaha","Total people, usual residence five years ago","Total people, age group","Total people, sex",111,
"Whataroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",288,
"Waiho","Total people, usual residence five years ago","Total people, age group","Total people, sex",66,
"Karangarua","Total people, usual residence five years ago","Total people, age group","Total people, sex",30,
"Bruce Bay-Paringa","Total people, usual residence five years ago","Total people, age group","Total people, sex",33,
"Haast","Total people, usual residence five years ago","Total people, age group","Total people, sex",240,
"Hokitika Urban","Total people, usual residence five years ago","Total people, age group","Total people, sex",2964,
"Lake Tennyson","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Hanmer Springs","Total people, usual residence five years ago","Total people, age group","Total people, sex",843,
"Culverden","Total people, usual residence five years ago","Total people, age group","Total people, sex",426,
"Waiau","Total people, usual residence five years ago","Total people, age group","Total people, sex",261,
"Amuri","Total people, usual residence five years ago","Total people, age group","Total people, sex",1644,
"Parnassus","Total people, usual residence five years ago","Total people, age group","Total people, sex",936,
"Cheviot","Total people, usual residence five years ago","Total people, age group","Total people, sex",369,
"Hurunui","Total people, usual residence five years ago","Total people, age group","Total people, sex",2640,
"Amberley","Total people, usual residence five years ago","Total people, age group","Total people, sex",1578,
"Leithfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",2832,
"Sefton","Total people, usual residence five years ago","Total people, age group","Total people, sex",627,
"Okuku","Total people, usual residence five years ago","Total people, age group","Total people, sex",639,
"Loburn","Total people, usual residence five years ago","Total people, age group","Total people, sex",2184,
"Ashley","Total people, usual residence five years ago","Total people, age group","Total people, sex",1083,
"Camside","Total people, usual residence five years ago","Total people, age group","Total people, sex",24,
"Pines-Kairaki Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",483,
"Waikuku","Total people, usual residence five years ago","Total people, age group","Total people, sex",903,
"Cust","Total people, usual residence five years ago","Total people, age group","Total people, sex",447,
"Mairaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",498,
"Woodend","Total people, usual residence five years ago","Total people, age group","Total people, sex",2679,
"Fernside","Total people, usual residence five years ago","Total people, age group","Total people, sex",1821,
"Lehmans","Total people, usual residence five years ago","Total people, age group","Total people, sex",1689,
"Pegasus","Total people, usual residence five years ago","Total people, age group","Total people, sex",1050,
"Woodend Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",510,
"Coldstream","Total people, usual residence five years ago","Total people, age group","Total people, sex",543,
"Ravenswood","Total people, usual residence five years ago","Total people, age group","Total people, sex",15,
"Tuahiwi","Total people, usual residence five years ago","Total people, age group","Total people, sex",1128,
"Woodend West","Total people, usual residence five years ago","Total people, age group","Total people, sex",57,
"Rangiora East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2421,
"Southbrook","Total people, usual residence five years ago","Total people, age group","Total people, sex",801,
"Kingsbury","Total people, usual residence five years ago","Total people, age group","Total people, sex",2115,
"Rangiora North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3276,
"Rangiora West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2811,
"Rangiora Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",1905,
"Kaiapoi South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2049,
"Mansfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",1842,
"Courtenay","Total people, usual residence five years ago","Total people, age group","Total people, sex",471,
"Kaiapoi East","Total people, usual residence five years ago","Total people, age group","Total people, sex",918,
"Kaiapoi North West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1395,
"Kaiapoi North East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1485,
"Clarkville","Total people, usual residence five years ago","Total people, age group","Total people, sex",1137,
"Kaiapoi West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1047,
"Silverstream","Total people, usual residence five years ago","Total people, age group","Total people, sex",39,
"Mandeville","Total people, usual residence five years ago","Total people, age group","Total people, sex",2637,
"Ohoka","Total people, usual residence five years ago","Total people, age group","Total people, sex",1128,
"West Eyreton","Total people, usual residence five years ago","Total people, age group","Total people, sex",1257,
"Eyrewell","Total people, usual residence five years ago","Total people, age group","Total people, sex",1260,
"Ashley Gorge","Total people, usual residence five years ago","Total people, age group","Total people, sex",1707,
"Oxford","Total people, usual residence five years ago","Total people, age group","Total people, sex",1905,
"Halswell South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2280,
"Oaklands West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2361,
"Oaklands East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3315,
"Hornby North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3267,
"Hornby South","Total people, usual residence five years ago","Total people, age group","Total people, sex",5037,
"Sockburn","Total people, usual residence five years ago","Total people, age group","Total people, sex",6342,
"Wigram","Total people, usual residence five years ago","Total people, age group","Total people, sex",3612,
"Yaldhurst","Total people, usual residence five years ago","Total people, age group","Total people, sex",1386,
"Broomfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",2613,
"Paparua","Total people, usual residence five years ago","Total people, age group","Total people, sex",825,
"Templeton","Total people, usual residence five years ago","Total people, age group","Total people, sex",1791,
"Islington","Total people, usual residence five years ago","Total people, age group","Total people, sex",2997,
"Halswell West","Total people, usual residence five years ago","Total people, age group","Total people, sex",504,
"Westmorland","Total people, usual residence five years ago","Total people, age group","Total people, sex",1839,
"Aidanfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",2892,
"Halswell Domain","Total people, usual residence five years ago","Total people, age group","Total people, sex",1578,
"Hendersons Basin","Total people, usual residence five years ago","Total people, age group","Total people, sex",657,
"Mcleans Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",231,
"Kennedys Bush","Total people, usual residence five years ago","Total people, age group","Total people, sex",651,
"Redwood North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4143,
"Redwood South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2901,
"Styx Mill","Total people, usual residence five years ago","Total people, age group","Total people, sex",3105,
"Casebrook","Total people, usual residence five years ago","Total people, age group","Total people, sex",2493,
"Belfast South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3543,
"Sawyers Arms","Total people, usual residence five years ago","Total people, age group","Total people, sex",3183,
"Bishopdale North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4686,
"Harewood","Total people, usual residence five years ago","Total people, age group","Total people, sex",3216,
"Bishopdale","Total people, usual residence five years ago","Total people, age group","Total people, sex",2424,
"Russley","Total people, usual residence five years ago","Total people, age group","Total people, sex",3174,
"Burnside","Total people, usual residence five years ago","Total people, age group","Total people, sex",2325,
"Wairarapa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1833,
"Jellie Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2658,
"Bryndwr","Total people, usual residence five years ago","Total people, age group","Total people, sex",2985,
"Holmwood","Total people, usual residence five years ago","Total people, age group","Total people, sex",2007,
"Fendalton","Total people, usual residence five years ago","Total people, age group","Total people, sex",2877,
"Deans Bush","Total people, usual residence five years ago","Total people, age group","Total people, sex",1593,
"Hawthornden","Total people, usual residence five years ago","Total people, age group","Total people, sex",3177,
"Merrin","Total people, usual residence five years ago","Total people, age group","Total people, sex",1479,
"Westburn","Total people, usual residence five years ago","Total people, age group","Total people, sex",2937,
"Avonhead West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3063,
"Avonhead","Total people, usual residence five years ago","Total people, age group","Total people, sex",3558,
"Ilam","Total people, usual residence five years ago","Total people, age group","Total people, sex",4854,
"Upper Riccarton","Total people, usual residence five years ago","Total people, age group","Total people, sex",3066,
"Wharenui","Total people, usual residence five years ago","Total people, age group","Total people, sex",2580,
"Middleton","Total people, usual residence five years ago","Total people, age group","Total people, sex",1779,
"Belfast","Total people, usual residence five years ago","Total people, age group","Total people, sex",4263,
"Travis Wetland","Total people, usual residence five years ago","Total people, age group","Total people, sex",4791,
"Mairehau North","Total people, usual residence five years ago","Total people, age group","Total people, sex",1746,
"Westhaven","Total people, usual residence five years ago","Total people, age group","Total people, sex",2409,
"Highfield Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",825,
"Prestons","Total people, usual residence five years ago","Total people, age group","Total people, sex",285,
"Parklands","Total people, usual residence five years ago","Total people, age group","Total people, sex",4743,
"Waimairi Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",3336,
"Styx","Total people, usual residence five years ago","Total people, age group","Total people, sex",2289,
"Mona Vale","Total people, usual residence five years ago","Total people, age group","Total people, sex",2322,
"Riccarton West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2880,
"Riccarton","Total people, usual residence five years ago","Total people, age group","Total people, sex",4068,
"Riccarton South","Total people, usual residence five years ago","Total people, age group","Total people, sex",546,
"Cashmere West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3078,
"Cashmere East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3756,
"Rapaki Track","Total people, usual residence five years ago","Total people, age group","Total people, sex",1368,
"Heathcote Valley","Total people, usual residence five years ago","Total people, age group","Total people, sex",1983,
"Cathedral Square","Total people, usual residence five years ago","Total people, age group","Total people, sex",501,
"Hagley Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",1023,
"Avon Loop","Total people, usual residence five years ago","Total people, age group","Total people, sex",3375,
"Northcote","Total people, usual residence five years ago","Total people, age group","Total people, sex",2427,
"Papanui","Total people, usual residence five years ago","Total people, age group","Total people, sex",3642,
"Aorangi","Total people, usual residence five years ago","Total people, age group","Total people, sex",5478,
"Strowan","Total people, usual residence five years ago","Total people, age group","Total people, sex",3702,
"Merivale","Total people, usual residence five years ago","Total people, age group","Total people, sex",2706,
"Rutland","Total people, usual residence five years ago","Total people, age group","Total people, sex",5124,
"St Albans West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2421,
"St Albans East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4692,
"Mairehau","Total people, usual residence five years ago","Total people, age group","Total people, sex",2994,
"Edgeware","Total people, usual residence five years ago","Total people, age group","Total people, sex",3954,
"Shirley West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3621,
"Shirley East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3456,
"Burwood","Total people, usual residence five years ago","Total people, age group","Total people, sex",1068,
"Dallington","Total people, usual residence five years ago","Total people, age group","Total people, sex",1863,
"Travis","Total people, usual residence five years ago","Total people, age group","Total people, sex",2181,
"Avondale","Total people, usual residence five years ago","Total people, age group","Total people, sex",2481,
"Wainoni","Total people, usual residence five years ago","Total people, age group","Total people, sex",2694,
"Aranui","Total people, usual residence five years ago","Total people, age group","Total people, sex",3810,
"Richmond North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2310,
"Richmond South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2001,
"Avonside","Total people, usual residence five years ago","Total people, age group","Total people, sex",1824,
"Linwood","Total people, usual residence five years ago","Total people, age group","Total people, sex",4290,
"Phillipstown","Total people, usual residence five years ago","Total people, age group","Total people, sex",3786,
"Linwood North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2406,
"Linwood East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2004,
"Bexley","Total people, usual residence five years ago","Total people, age group","Total people, sex",2376,
"Bromley","Total people, usual residence five years ago","Total people, age group","Total people, sex",2910,
"Woolston West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3408,
"Ferrymead","Total people, usual residence five years ago","Total people, age group","Total people, sex",3210,
"Woolston South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2346,
"Ensors","Total people, usual residence five years ago","Total people, age group","Total people, sex",3657,
"Opawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",3066,
"St Martins","Total people, usual residence five years ago","Total people, age group","Total people, sex",4152,
"Waltham","Total people, usual residence five years ago","Total people, age group","Total people, sex",1038,
"Sydenham","Total people, usual residence five years ago","Total people, age group","Total people, sex",5910,
"Addington","Total people, usual residence five years ago","Total people, age group","Total people, sex",3675,
"Barrington North","Total people, usual residence five years ago","Total people, age group","Total people, sex",5490,
"Barrington South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3090,
"Spreydon","Total people, usual residence five years ago","Total people, age group","Total people, sex",3549,
"Hoon Hay","Total people, usual residence five years ago","Total people, age group","Total people, sex",2862,
"Hoon Hay South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1953,
"Hillmorton","Total people, usual residence five years ago","Total people, age group","Total people, sex",4479,
"Somerfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",3660,
"Beckenham","Total people, usual residence five years ago","Total people, age group","Total people, sex",2442,
"North Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",4560,
"Rawhiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",3594,
"New Brighton","Total people, usual residence five years ago","Total people, age group","Total people, sex",2439,
"South Brighton","Total people, usual residence five years ago","Total people, age group","Total people, sex",3231,
"Mt Pleasant","Total people, usual residence five years ago","Total people, age group","Total people, sex",3252,
"Avon-Heathcote Estuary","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Moncks Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",2922,
"Sumner","Total people, usual residence five years ago","Total people, age group","Total people, sex",3612,
"Lyttelton","Total people, usual residence five years ago","Total people, age group","Total people, sex",2859,
"Diamond Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",1467,
"Governors Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",870,
"Quail Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Port Levy","Total people, usual residence five years ago","Total people, age group","Total people, sex",75,
"Akaroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",624,
"Akaroa Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",777,
"Banks Peninsula Eastern Bays","Total people, usual residence five years ago","Total people, age group","Total people, sex",459,
"Little River","Total people, usual residence five years ago","Total people, age group","Total people, sex",1101,
"Inland Water-Lake Ellesmere South","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Port Lyttelton","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlets-Banks Peninsula Bays","Total people, usual residence five years ago","Total people, age group","Total people, sex",3,
"Darfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",1935,
"Kirwee","Total people, usual residence five years ago","Total people, age group","Total people, sex",3483,
"Burnham Military Camp","Total people, usual residence five years ago","Total people, age group","Total people, sex",1089,
"Malvern","Total people, usual residence five years ago","Total people, age group","Total people, sex",3114,
"Prebbleton","Total people, usual residence five years ago","Total people, age group","Total people, sex",2310,
"Trents-Ladbrooks","Total people, usual residence five years ago","Total people, age group","Total people, sex",1710,
"West Melton","Total people, usual residence five years ago","Total people, age group","Total people, sex",7059,
"Taitapu","Total people, usual residence five years ago","Total people, age group","Total people, sex",624,
"Lincoln","Total people, usual residence five years ago","Total people, age group","Total people, sex",3924,
"Leeston","Total people, usual residence five years ago","Total people, age group","Total people, sex",1506,
"Southbridge","Total people, usual residence five years ago","Total people, age group","Total people, sex",861,
"Dunsandel","Total people, usual residence five years ago","Total people, age group","Total people, sex",474,
"Inland Water-Lake Ellesmere North","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Selwyn-Rakaia","Total people, usual residence five years ago","Total people, age group","Total people, sex",3921,
"Rolleston North West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1797,
"Rolleston Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2976,
"Rolleston North East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2193,
"Rolleston South West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1974,
"Springston","Total people, usual residence five years ago","Total people, age group","Total people, sex",3033,
"Rolleston South East","Total people, usual residence five years ago","Total people, age group","Total people, sex",612,
"Methven","Total people, usual residence five years ago","Total people, age group","Total people, sex",1710,
"Plains Railway","Total people, usual residence five years ago","Total people, age group","Total people, sex",588,
"Ashburton North","Total people, usual residence five years ago","Total people, age group","Total people, sex",273,
"Fairton","Total people, usual residence five years ago","Total people, age group","Total people, sex",711,
"Ashburton East","Total people, usual residence five years ago","Total people, age group","Total people, sex",333,
"Mt Somers","Total people, usual residence five years ago","Total people, age group","Total people, sex",2646,
"Hinds","Total people, usual residence five years ago","Total people, age group","Total people, sex",4614,
"Chertsey","Total people, usual residence five years ago","Total people, age group","Total people, sex",2493,
"Rakaia","Total people, usual residence five years ago","Total people, age group","Total people, sex",1113,
"Allenton West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2052,
"Allenton East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4131,
"Ashburton Central West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1035,
"Netherby","Total people, usual residence five years ago","Total people, age group","Total people, sex",1821,
"Ashburton Central East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1719,
"Hampstead","Total people, usual residence five years ago","Total people, age group","Total people, sex",2733,
"Tinwald","Total people, usual residence five years ago","Total people, age group","Total people, sex",3075,
"Winchester","Total people, usual residence five years ago","Total people, age group","Total people, sex",264,
"Fairview-Scarborough","Total people, usual residence five years ago","Total people, age group","Total people, sex",555,
"Otipua Creek-Washdyke Flat","Total people, usual residence five years ago","Total people, age group","Total people, sex",612,
"Ben Mcleod","Total people, usual residence five years ago","Total people, age group","Total people, sex",72,
"Orari","Total people, usual residence five years ago","Total people, age group","Total people, sex",4677,
"Levels","Total people, usual residence five years ago","Total people, age group","Total people, sex",3810,
"Pareora","Total people, usual residence five years ago","Total people, age group","Total people, sex",432,
"Pleasant Point","Total people, usual residence five years ago","Total people, age group","Total people, sex",1278,
"Geraldine","Total people, usual residence five years ago","Total people, age group","Total people, sex",2301,
"Temuka","Total people, usual residence five years ago","Total people, age group","Total people, sex",4050,
"Washdyke","Total people, usual residence five years ago","Total people, age group","Total people, sex",867,
"Waimataitai","Total people, usual residence five years ago","Total people, age group","Total people, sex",1230,
"Marchwiel","Total people, usual residence five years ago","Total people, age group","Total people, sex",3783,
"Maori Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",972,
"Highfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",3300,
"Glenwood","Total people, usual residence five years ago","Total people, age group","Total people, sex",1752,
"Gleniti","Total people, usual residence five years ago","Total people, age group","Total people, sex",2385,
"Fraser Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2808,
"Seaview","Total people, usual residence five years ago","Total people, age group","Total people, sex",2412,
"Watlington","Total people, usual residence five years ago","Total people, age group","Total people, sex",2298,
"Parkside","Total people, usual residence five years ago","Total people, age group","Total people, sex",2490,
"Timaru Gardens","Total people, usual residence five years ago","Total people, age group","Total people, sex",1515,
"Redruth","Total people, usual residence five years ago","Total people, age group","Total people, sex",66,
"Inlet-Port Timaru","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Twizel Community","Total people, usual residence five years ago","Total people, age group","Total people, sex",1137,
"Fairlie","Total people, usual residence five years ago","Total people, age group","Total people, sex",696,
"Mt Cook","Total people, usual residence five years ago","Total people, age group","Total people, sex",192,
"Lake Tekapo","Total people, usual residence five years ago","Total people, age group","Total people, sex",366,
"Inland Water-Lake Alexandrina","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inland Water-Lake Tekapo","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Mackenzie","Total people, usual residence five years ago","Total people, age group","Total people, sex",1767,
"Waihao","Total people, usual residence five years ago","Total people, age group","Total people, sex",4578,
"St Andrews","Total people, usual residence five years ago","Total people, age group","Total people, sex",180,
"Waimate","Total people, usual residence five years ago","Total people, age group","Total people, sex",2778,
"Chatham Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",600,
"Oceanic-Chatham Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Weston","Total people, usual residence five years ago","Total people, age group","Total people, sex",807,
"Pukeuri","Total people, usual residence five years ago","Total people, age group","Total people, sex",210,
"Ardgowan","Total people, usual residence five years ago","Total people, age group","Total people, sex",663,
"Cape Wanbrow","Total people, usual residence five years ago","Total people, age group","Total people, sex",318,
"Duntroon","Total people, usual residence five years ago","Total people, age group","Total people, sex",87,
"Kurow","Total people, usual residence five years ago","Total people, age group","Total people, sex",312,
"Maheno","Total people, usual residence five years ago","Total people, age group","Total people, sex",3897,
"Omarama","Total people, usual residence five years ago","Total people, age group","Total people, sex",270,
"Kakanui","Total people, usual residence five years ago","Total people, age group","Total people, sex",372,
"Otematata","Total people, usual residence five years ago","Total people, age group","Total people, sex",186,
"Aviemore","Total people, usual residence five years ago","Total people, age group","Total people, sex",762,
"Inland Water-Lake Ohau","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Hampden","Total people, usual residence five years ago","Total people, age group","Total people, sex",300,
"Oamaru North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3291,
"Orana Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2367,
"Oamaru Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2475,
"Oamaru South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2913,
"Palmerston","Total people, usual residence five years ago","Total people, age group","Total people, sex",792,
"Waihemo","Total people, usual residence five years ago","Total people, age group","Total people, sex",705,
"Nenthorn","Total people, usual residence five years ago","Total people, age group","Total people, sex",93,
"Inlet-Port Oamaru","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Teviot","Total people, usual residence five years ago","Total people, age group","Total people, sex",1041,
"Roxburgh","Total people, usual residence five years ago","Total people, age group","Total people, sex",522,
"Ranfurly","Total people, usual residence five years ago","Total people, age group","Total people, sex",666,
